source,target,type,value
12000,24000,Tier2/1-4Hours,10
12000,24100,Tier2/1-4Hours,10
12000,24200,Tier2/1-4Hours,10
12000,24300,Tier2/1-4Hours,10
12000,24400,Tier2/1-4Hours,10
12000,24500,Tier2/1-4Hours,10
12000,24500,Tier2/1-4Hours,10
12000,24600,Tier2/1-4Hours,10
12000,24700,Tier2/1-4Hours,10
12000,24800,Tier2/1-4Hours,10
12000,24900,Tier2/1-4Hours,10
12000,25000,Tier2/1-4Hours,10
12000,25100,Tier2/1-4Hours,10
12000,25200,Tier2/1-4Hours,10
12000,25300,Tier2/1-4Hours,10
12000,25400,Tier2/1-4Hours,10
12000,25500,Tier2/1-4Hours,10
12000,25600,Tier2/1-4Hours,10
12000,25600,Tier2/1-4Hours,10
12000,25700,Tier2/1-4Hours,10
12000,25800,Tier2/1-4Hours,10
12000,25900,Tier2/1-4Hours,10
12000,26000,Tier2/1-4Hours,10
12000,26100,Tier2/1-4Hours,10
12000,26200,Tier2/1-4Hours,10
12000,26200,Tier2/1-4Hours,10
12000,26300,Tier2/1-4Hours,10
12000,26300,Tier2/1-4Hours,10
12000,26400,Tier2/1-4Hours,10
12000,26500,Tier2/1-4Hours,10
12000,26500,Tier2/1-4Hours,10
12000,26600,Tier2/1-4Hours,10
12000,26700,Tier2/1-4Hours,10
12000,26700,Tier2/1-4Hours,10
12000,26700,Tier2/1-4Hours,10
12000,26800,Tier2/1-4Hours,10
12000,26900,Tier2/1-4Hours,10
12000,27000,Tier2/1-4Hours,10
12000,27100,Tier2/1-4Hours,10
12000,27200,Tier2/1-4Hours,10
12000,27300,Tier2/1-4Hours,10
12000,27300,Tier2/1-4Hours,10
12000,27400,Tier2/1-4Hours,10
12000,27500,Tier2/1-4Hours,10
12000,27600,Tier2/1-4Hours,10
12000,27700,Tier2/1-4Hours,10
12000,27800,Tier2/1-4Hours,10
12000,27900,Tier2/1-4Hours,10
12000,28000,Tier2/1-4Hours,10
12000,28100,Tier2/1-4Hours,10
12000,28100,Tier2/1-4Hours,10
12000,28100,Tier2/1-4Hours,10
12000,28200,Tier2/1-4Hours,10
12000,28300,Tier2/1-4Hours,10
12000,28400,Tier2/1-4Hours,10
12000,28500,Tier2/1-4Hours,10
12000,28600,Tier2/1-4Hours,10
12000,28700,Tier2/1-4Hours,10
12000,28700,Tier2/1-4Hours,10
12000,28800,Tier2/1-4Hours,10
12000,28900,Tier2/1-4Hours,10
12000,29000,Tier2/1-4Hours,10
12000,29100,Tier2/1-4Hours,10
12000,29200,Tier2/1-4Hours,10
12000,29200,Tier2/1-4Hours,10
12000,29300,Tier2/1-4Hours,10
12000,29400,Tier2/1-4Hours,10
12000,29500,Tier2/1-4Hours,10
12000,29600,Tier2/1-4Hours,10
12000,29700,Tier2/1-4Hours,10
12000,29800,Tier2/1-4Hours,10
12000,29900,Tier2/1-4Hours,10
12000,30000,Tier2/1-4Hours,10
12000,30100,Tier2/1-4Hours,10
12000,30200,Tier2/1-4Hours,10
12000,30300,Tier2/1-4Hours,10
12000,30400,Tier2/1-4Hours,10
12000,30400,Tier2/1-4Hours,10
12000,30500,Tier2/1-4Hours,10
12000,30600,Tier2/1-4Hours,10
12000,30700,Tier2/1-4Hours,10
12000,30800,Tier2/1-4Hours,10
12000,30800,Tier2/1-4Hours,10
12000,30800,Tier2/1-4Hours,10
12000,30900,Tier2/1-4Hours,10
12000,30900,Tier2/1-4Hours,10
12000,31000,Tier2/1-4Hours,10
12000,31100,Tier2/1-4Hours,10
12000,31200,Tier2/1-4Hours,10
12000,31300,Tier2/1-4Hours,10
12000,31300,Tier2/1-4Hours,10
12000,31400,Tier2/1-4Hours,10
12000,31500,Tier2/1-4Hours,10
12000,31500,Tier2/1-4Hours,10
12000,31600,Tier2/1-4Hours,10
12000,31700,Tier2/1-4Hours,10
12000,31800,Tier2/1-4Hours,10
12000,31900,Tier2/1-4Hours,10
12000,32000,Tier2/1-4Hours,10
12000,32100,Tier2/1-4Hours,10
12000,32200,Tier2/1-4Hours,10
12000,32300,Tier2/1-4Hours,10
12000,32400,Tier2/1-4Hours,10
12000,32500,Tier2/1-4Hours,10
12000,32600,Tier2/1-4Hours,10
12000,32700,Tier2/1-4Hours,10
12000,32800,Tier2/1-4Hours,10
12000,32900,Tier2/1-4Hours,10
12000,33000,Tier2/1-4Hours,10
12000,33100,Tier2/1-4Hours,10
12000,33200,Tier2/1-4Hours,10
12000,33300,Tier2/1-4Hours,10
12000,33400,Tier2/1-4Hours,10
12000,33500,Tier2/1-4Hours,10
12000,33600,Tier2/1-4Hours,10
12000,33700,Tier2/1-4Hours,10
12000,33800,Tier2/1-4Hours,10
12000,33800,Tier2/1-4Hours,10
12000,33900,Tier2/1-4Hours,10
12000,34000,Tier2/1-4Hours,10
12000,34100,Tier2/1-4Hours,10
12000,34200,Tier2/1-4Hours,10
12000,34300,Tier2/1-4Hours,10
12000,34400,Tier2/1-4Hours,10
12000,34500,Tier2/1-4Hours,10
12000,34600,Tier2/1-4Hours,10
12000,34700,Tier2/1-4Hours,10
12000,34800,Tier2/1-4Hours,10
12000,34900,Tier2/1-4Hours,10
12000,35000,Tier2/1-4Hours,10
12000,35100,Tier2/1-4Hours,10
12000,35200,Tier2/1-4Hours,10
12000,35300,Tier2/1-4Hours,10
12000,35400,Tier2/1-4Hours,10
12000,35500,Tier2/1-4Hours,10
12000,35600,Tier2/1-4Hours,10
12000,35700,Tier2/1-4Hours,10
12000,35800,Tier2/1-4Hours,10
12000,35900,Tier2/1-4Hours,10
12000,36000,Tier2/1-4Hours,10
12000,36100,Tier2/1-4Hours,10
12000,36200,Tier2/1-4Hours,10
12000,36300,Tier2/1-4Hours,10
12000,36400,Tier2/1-4Hours,10
12000,36500,Tier2/1-4Hours,10
12000,36600,Tier2/1-4Hours,10
12000,36700,Tier2/1-4Hours,10
12000,36800,Tier2/1-4Hours,10
12000,36900,Tier2/1-4Hours,10
12000,37000,Tier2/1-4Hours,10
12000,37100,Tier2/1-4Hours,10
12000,37200,Tier2/1-4Hours,10
12000,37300,Tier2/1-4Hours,10
12000,37400,Tier2/1-4Hours,10
12000,37500,Tier2/1-4Hours,10
12000,37600,Tier2/1-4Hours,10
12000,37700,Tier2/1-4Hours,10
12000,37700,Tier2/1-4Hours,10
12000,37800,Tier2/1-4Hours,10
12000,37900,Tier2/1-4Hours,10
12000,37900,Tier2/1-4Hours,10
12000,38000,Tier2/1-4Hours,10
12000,38100,Tier2/1-4Hours,10
12000,38200,Tier2/1-4Hours,10
12000,38200,Tier2/1-4Hours,10
12000,38300,Tier2/1-4Hours,10
12000,38400,Tier2/1-4Hours,10
12000,38400,Tier2/1-4Hours,10
12000,38400,Tier2/1-4Hours,10
12000,38500,Tier2/1-4Hours,10
12000,38600,Tier2/1-4Hours,10
12000,38600,Tier2/1-4Hours,10
12000,38700,Tier2/1-4Hours,10
12000,38800,Tier2/1-4Hours,10
12000,38900,Tier2/1-4Hours,10
12000,39000,Tier2/1-4Hours,10
12000,39100,Tier2/1-4Hours,10
12000,39200,Tier2/1-4Hours,10
12000,39300,Tier2/1-4Hours,10
12000,39400,Tier2/1-4Hours,10
12000,39400,Tier2/1-4Hours,10
12000,39500,Tier2/1-4Hours,10
12000,39600,Tier2/1-4Hours,10
12000,39700,Tier2/1-4Hours,10
12000,39700,Tier2/1-4Hours,10
12000,39700,Tier2/1-4Hours,10
12000,39800,Tier2/1-4Hours,10
12000,39800,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,39900,Tier2/1-4Hours,10
12000,40000,Tier2/1-4Hours,10
12000,40100,Tier2/1-4Hours,10
12000,40200,Tier2/1-4Hours,10
12000,40300,Tier2/1-4Hours,10
12000,40400,Tier2/1-4Hours,10
12000,40500,Tier2/1-4Hours,10
12000,40600,Tier2/1-4Hours,10
12000,40700,Tier2/1-4Hours,10
12000,40800,Tier2/1-4Hours,10
12000,40900,Tier2/1-4Hours,10
12000,41000,Tier2/1-4Hours,10
12000,41100,Tier2/1-4Hours,10
12000,41200,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41300,Tier2/1-4Hours,10
12000,41400,Tier2/1-4Hours,10
12000,41400,Tier2/1-4Hours,10
12000,41500,Tier2/1-4Hours,10
12000,41600,Tier2/1-4Hours,10
12000,41700,Tier2/1-4Hours,10
12000,41800,Tier2/1-4Hours,10
12000,41800,Tier2/1-4Hours,10
12000,41900,Tier2/1-4Hours,10
12000,42000,Tier2/1-4Hours,10
12000,42100,Tier2/1-4Hours,10
12000,42200,Tier2/1-4Hours,10
12000,42200,Tier2/1-4Hours,10
12000,42300,Tier2/1-4Hours,10
12000,42300,Tier2/1-4Hours,10
12000,42400,Tier2/1-4Hours,10
12000,42500,Tier2/1-4Hours,10
12000,42600,Tier2/1-4Hours,10
12000,42700,Tier2/1-4Hours,10
12000,42700,Tier2/1-4Hours,10
12000,42700,Tier2/1-4Hours,10
12000,42800,Tier2/1-4Hours,10
12000,42900,Tier2/1-4Hours,10
12000,43000,Tier2/1-4Hours,10
12000,43100,Tier2/1-4Hours,10
12000,43200,Tier2/1-4Hours,10
12000,43300,Tier2/1-4Hours,10
12000,43400,Tier2/1-4Hours,10
12000,43500,Tier2/1-4Hours,10
12000,43600,Tier2/1-4Hours,10
12000,43700,Tier2/1-4Hours,10
12000,43700,Tier2/1-4Hours,10
12000,43700,Tier2/1-4Hours,10
12000,43700,Tier2/1-4Hours,10
12000,43800,Tier2/1-4Hours,10
12000,43900,Tier2/1-4Hours,10
12000,44000,Tier2/1-4Hours,10
12000,44000,Tier2/1-4Hours,10
12000,44100,Tier2/1-4Hours,10
12000,44200,Tier2/1-4Hours,10
12000,44300,Tier2/1-4Hours,10
12000,44300,Tier2/1-4Hours,10
12000,44400,Tier2/1-4Hours,10
12000,44500,Tier2/1-4Hours,10
12000,44600,Tier2/1-4Hours,10
12000,44700,Tier2/1-4Hours,10
12000,44700,Tier2/1-4Hours,10
12000,44800,Tier2/1-4Hours,10
12000,44900,Tier2/1-4Hours,10
12000,44900,Tier2/1-4Hours,10
12000,45000,Tier2/1-4Hours,10
12000,45100,Tier2/1-4Hours,10
12000,45200,Tier2/1-4Hours,10
12000,45300,Tier2/1-4Hours,10
12000,45400,Tier2/1-4Hours,10
12000,45400,Tier2/1-4Hours,10
12000,45500,Tier2/1-4Hours,10
12000,45600,Tier2/1-4Hours,10
12000,45700,Tier2/1-4Hours,10
12000,45800,Tier2/1-4Hours,10
12000,45900,Tier2/1-4Hours,10
12000,46000,Tier2/1-4Hours,10
12000,46100,Tier2/1-4Hours,10
12000,46200,Tier2/1-4Hours,10
12000,46300,Tier2/1-4Hours,10
12000,46400,Tier2/1-4Hours,10
12000,46500,Tier2/1-4Hours,10
12000,46600,Tier2/1-4Hours,10
12000,46700,Tier2/1-4Hours,10
12000,46800,Tier2/1-4Hours,10
12000,46900,Tier2/1-4Hours,10
12000,47000,Tier2/1-4Hours,10
12000,47000,Tier2/1-4Hours,10
12000,47100,Tier2/1-4Hours,10
12000,47200,Tier2/1-4Hours,10
12000,47300,Tier2/1-4Hours,10
12000,47400,Tier2/1-4Hours,10
12000,47500,Tier2/1-4Hours,10
12000,47600,Tier2/1-4Hours,10
12000,47700,Tier2/1-4Hours,10
12000,47800,Tier2/1-4Hours,10
